"path","size_bytes","sha256","language"
"backend/services/inventory-service/node_modules/.cache/prisma/master/605197351a3c8bdd595af2d2a9bc3025bca48ea2/windows/libquery-engine.sha256","64","990aab87524beef266e26317fc4243b0d5d4cdd3fe904fd9f84e4e0c81e432a1","sha256"
"backend/services/inventory-service/node_modules/.cache/prisma/master/605197351a3c8bdd595af2d2a9bc3025bca48ea2/windows/schema-engine","18145792","a7d949e16cc5937aa77d67888c8993118ef16c764e536e9ed7c17cfe61bb65ad","unknown"
"backend/services/inventory-service/node_modules/.cache/prisma/master/605197351a3c8bdd595af2d2a9bc3025bca48ea2/windows/schema-engine.gz.sha256","64","d8a637aec1cf7bda31522ed2487e0c34aba6a08ecc8969bb86ef36dd802783ab","sha256"
"backend/services/inventory-service/node_modules/.cache/prisma/master/605197351a3c8bdd595af2d2a9bc3025bca48ea2/windows/schema-engine.sha256","64","de796a9b76a64d1036038ee272f9bc6aa4d08989c227d55b80429bbfe7e05780","sha256"
"backend/services/inventory-service/node_modules/.prisma/client/default.d.ts","3989","71df692065d79c5b044002f8a68eba33e934859859094bab2f334f64a467f428","ts"
"backend/services/inventory-service/node_modules/.prisma/client/default.js","2078","8ddaed338be85a42d43f41a14079be84b6b5c3e6efb5a505137d9f96c652c508","js"
"backend/services/inventory-service/node_modules/.prisma/client/edge.d.ts","3989","71df692065d79c5b044002f8a68eba33e934859859094bab2f334f64a467f428","ts"
"backend/services/inventory-service/node_modules/.prisma/client/edge.js","2078","8ddaed338be85a42d43f41a14079be84b6b5c3e6efb5a505137d9f96c652c508","js"
"backend/services/inventory-service/node_modules/.prisma/client/index-browser.js","2078","8ddaed338be85a42d43f41a14079be84b6b5c3e6efb5a505137d9f96c652c508","js"
"backend/services/inventory-service/node_modules/.prisma/client/index.d.ts","3989","71df692065d79c5b044002f8a68eba33e934859859094bab2f334f64a467f428","ts"
"backend/services/inventory-service/node_modules/.prisma/client/index.js","2078","8ddaed338be85a42d43f41a14079be84b6b5c3e6efb5a505137d9f96c652c508","js"
"backend/services/inventory-service/node_modules/.prisma/client/wasm.d.ts","3989","71df692065d79c5b044002f8a68eba33e934859859094bab2f334f64a467f428","ts"
"backend/services/inventory-service/node_modules/.prisma/client/wasm.js","2078","8ddaed338be85a42d43f41a14079be84b6b5c3e6efb5a505137d9f96c652c508","js"
"backend/services/inventory-service/node_modules/.prisma/client/deno/edge.d.ts","212","2c477a207046eb53c996f4a7eed2ae894cb021393d58cc5c0310456ce21a6c47","ts"
"backend/services/inventory-service/node_modules/@colors/colors/index.d.ts","4198","dfe8a70ca219c0867845b95da9a02ef554e2090149a36f9d6fda1e76731adeb3","ts"
"backend/services/inventory-service/node_modules/@colors/colors/LICENSE","1235","58597ded729a5e749cc323e2ae6e533a31be3622737b33e0239ba075ca14b515","unknown"
"backend/services/inventory-service/node_modules/@colors/colors/package.json","1059","af67d5bc4fac331176780d7da47802a48d9bca01596d571685351b4a03a6b9c1","json"
"backend/services/inventory-service/node_modules/@colors/colors/README.md","4484","465eeff5382e8fa0cbef066c84b907d6e12bf9e5c6bff8d7a385d525fb9bed6d","md"
"backend/services/inventory-service/node_modules/@colors/colors/safe.d.ts","2640","6e0596a5920dceb880aca5a7733f917a28171f165cd6aeec76bfe67c0332df80","ts"
"backend/services/inventory-service/node_modules/@colors/colors/safe.js","248","672cc883942925ce2e36076ccaf2d3caf7deb7c50ffe65601b40de54281cd1c9","js"
"backend/services/inventory-service/node_modules/@colors/colors/examples/normal-usage.js","2004","8ebc54e2c345bf1a6084f51aad90035e4e066f9c46fdcc757fd84430602f3fa1","js"
"backend/services/inventory-service/node_modules/@colors/colors/examples/safe-string.js","2119","1b991d66781acf3ae02a7cd9ef7e4cd13270a0cda1a57146bc2dae2216036c01","js"
"backend/services/inventory-service/node_modules/@colors/colors/lib/colors.js","5868","e0aa28d1cfe746e50b36eadd8b73f7077df3003e07c4f7b3cc5c40e45c597031","js"
"backend/services/inventory-service/node_modules/@colors/colors/lib/extendStringPrototype.js","3295","da39555a80daacf5bf56db9228cc5268a5ef2d209706aa8a7fb0c618902037ea","js"
"backend/services/inventory-service/node_modules/@colors/colors/lib/index.js","378","0d6cc0473f15530165712354c83e798cfedab5753310f598c8ff79f139fc404e","js"
"backend/services/inventory-service/node_modules/@colors/colors/lib/styles.js","2513","d469bf3213acd43f72be593acdacf925f248893e015f13c12a4a365a2076ecf2","js"
"backend/services/inventory-service/node_modules/@colors/colors/lib/custom/trap.js","1677","eac886df893bfa10e30e28228350d5a89126a4ba773a3d0e2d74d7b56029751d","js"
"backend/services/inventory-service/node_modules/@colors/colors/lib/custom/zalgo.js","2890","124463a7437210cd07269461255ecd45ce8af1ac48c8508857cb07514fa42c03","js"
"backend/services/inventory-service/node_modules/@colors/colors/lib/maps/america.js","278","a8747ed6f9fde27c23d8374a87fa6a80898c72c9be80959b405382624c07ffb4","js"
"backend/services/inventory-service/node_modules/@colors/colors/lib/maps/rainbow.js","311","85641874e0c1b9304099169479bf89b29b46c7e042c16cacef9b5e4c5f8b9e7f","js"
"backend/services/inventory-service/node_modules/@colors/colors/lib/maps/random.js","454","a0461e6327c356e9815e4273c9972ef63c77535e9dda29d7f5a8cf4b1b896ace","js"
"backend/services/inventory-service/node_modules/@colors/colors/lib/maps/zebra.js","146","07f31c776e6fed5a0660dbd6d1848c5c0944f0a1e53e4a7813da0b23286750ca","js"
"backend/services/inventory-service/node_modules/@colors/colors/lib/system/has-flag.js","1421","c2b82f82dbbd15bebed4449975e48b4077562269d44c31c6c238d728b9765b5d","js"
"backend/services/inventory-service/node_modules/@colors/colors/lib/system/supports-colors.js","4049","8ed006395e84e32cf3ad027c789817360d3553e66cc01a63d66e0dfea9f42a00","js"
"backend/services/inventory-service/node_modules/@colors/colors/themes/generic-logging.js","199","20a79c0ecf57fe4736d6f04f808a772a64a3700c1db9dad4ccb37269eb761223","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/CHANGELOG.md","900","d8808b4a0c49b612756e330f76fee57d3189401eca2e50675ffb158b8cc251c9","md"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/diagnostics.js","4518","a59302b864908e6bcac7fd074491b0d7cbf482abf55117f8824e7acf1d34e325","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/LICENSE","1119","77cc8fe282841077c532a9d92bda47add7bd0e1f5f4d7e91a9f91bff69faa86a","unknown"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/package.json","2156","407f69c7a7f98cd50fb9fab358706493c5c07e6c56cb90cc0825fef280e04ab6","json"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/README.md","14165","f3eb9b0329a380b41f5a598c38fe321e8e336050850aec0fadef68ead64c0fbc","md"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/adapters/hash.js","231","c5ad35e9c22a5221cc41eb3b44f59b2914df3c7f6cb5824527eea08ebc236c63","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/adapters/index.js","401","e8d6b44169442c62d6c2eb8ccfcf949b6c266848bc4cd8b8c165f8fc7b6aaaec","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/adapters/localstorage.js","242","eaca48f65d55e4b2c12b5614fe7fbb71be1352d47d7b2891fb84d6821764bbc7","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/adapters/process.env.js","221","793a95072a46f27fe111aaf610696dca7a7d0a5a3584ae0dd7fe1837b9f18571","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/browser/development.js","872","6185f08e16a0b0d9c8cc9c576e45f5b1e318391a5882cb257e3b98905848d8a1","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/browser/index.js","223","3003bbd2b2a46c89bda6f2fd3f48b383603b142fabc8cac95e360cf31eff13cc","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/browser/override.js","135","bca62fe8069c575bdd808f2b6cac70faa8bab50682fbb4f6c97d4df1a394dcfc","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/browser/production.js","578","e128d686c55283014a0fa49864b541bc0e957de130cc6037d4ff7c7f6c6b8045","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/logger/console.js","744","b31cdfe09947b822a363926e747453b0f0ca85c9155efe3188628f90f2ca4c00","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/modifiers/namespace-ansi.js","564","bf04f3dbc06e62ea50e3cfa6e63af49c547f0a401d1089de826babcea3b679c4","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/modifiers/namespace.js","979","2aaeae5b49e07a06437cbff8e3a82f09fb5fbdc1343e2a9b5630746f7e23636a","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/node/development.js","931","cfee74885c3d08caadda511261fdfbb8d448dc54e63e8f5cca62e3a8e974e94b","js"
"backend/services/inventory-service/node_modules/@dabh/diagnostics/node/index.js","223","3003bbd2b2a46c89bda6f2fd3f48b383603b142fabc8cac95e360cf31eff13cc","js"
